class,class_label,feature,coefficient,odds_ratio
2,ลองแน่นอน,most_freq_rtd_brand_Binary,0.11852440875390605,1.1258343539802946
2,ลองแน่นอน,most_freq_rtd_brand_SCC,0.11699919394048242,1.1241185235837368
1,อาจจะลอง,most_freq_rtd_brand_SCC,0.10083783457303036,1.1060972564849036
1,อาจจะลอง,most_freq_rtd_tea_brand_ITONO,0.09914108695648412,1.1042220799018723
1,อาจจะลอง,most_freq_rtd_brand_Kokiko,0.07352676158085372,1.076297339704762
2,ลองแน่นอน,most_freq_rtd_tea_brand_ITONO,0.06885690980107238,1.0712829080962416
2,ลองแน่นอน,most_freq_rtd_brand_Kokiko,-0.06881091968058288,0.9335031704698956
2,ลองแน่นอน,dur_online_3-4 ชม./วัน,0.059934490383850215,1.061766988319173
2,ลองแน่นอน,most_freq_rtd_tea_brand_Tea P+,0.043264565423890046,1.044214121260646
1,อาจจะลอง,most_freq_rtd_tea_brand_ไม่ดื่มชาพร้อมดื่ม (Ready to drink) เลย,0.03407842580941793,1.034665748045057
2,ลองแน่นอน,most_freq_rtd_brand_Newcafe,-0.030839002311118618,0.9696316689679199
0,ไม่ลอง,most_freq_rtd_brand_Binary,0.029687099945475234,1.0301321551124663
2,ลองแน่นอน,most_freq_rtd_tea_brand_Pokka,-0.027571826124851775,0.9728048072445061
2,ลองแน่นอน,most_freq_rtd_tea_brand_ไม่ดื่มชาพร้อมดื่ม (Ready to drink) เลย,-0.025236918090915546,0.9750788708359237
1,อาจจะลอง,most_freq_rtd_tea_brand_Inncutan,-0.02295670140086613,0.9773047987858943
2,ลองแน่นอน,dur_online_มากกว่า 6 ชม./วัน,0.010814243053052555,1.01087292833431
0,ไม่ลอง,most_freq_rtd_tea_brand_ไม่ดื่มชาพร้อมดื่ม (Ready to drink) เลย,-0.008841507718502234,0.9911974634715991
0,ไม่ลอง,most_freq_rtd_brand_Kokiko,-0.004715841900270865,0.9952952602233338
1,อาจจะลอง,coffee_aroma,-0.0046876582153962095,0.9953233117066005
